coname,cotype,cosize,indtype1,indtype2,caddr,coinfo
游族网络,上市公司,1000-5000人,网络游戏,互联网/电子商务,上海市徐汇区宜山路711号2号楼游族大厦,
上海金乾盛五金机电有限公司,民营公司,少于50人,贸易/进出口,机械/设备/重工,北京东路668号科技京城B区116-117,
郑州志盛商务信息咨询有限公司,,50-150人,专业服务(咨询、人力资源、财会),,0,
珠海德利货物运输信息咨询有限公司,,,交通/运输/物流,,,
深圳市静态文化发展有限公司,民营公司,少于50人,,广告,深圳市宝安中心区宝源路F518时尚创意园17栋303室,
陕西皇朝网络技术有限公司武汉分公司,民营公司,少于50人,互联网/电子商务,互联网/电子商务,武汉市江汉区青年路青年广场B座9楼D室,
郑州摩西贸易有限公司,,,多元化业务集团公司,,郑州大学路与桃园路交叉口向南50米华城国际中心19楼1923,
杉德银卡通信息服务有限公司天津分公司,合资,50-150人,金融/投资/证券,互联网/电子商务,和平区吴家窑二号路50号（中环电子仪器公司院内）A区5楼,
中国氯碱工业协会,,,专业服务(咨询、人力资源、财会),,0,
武汉金都网络服务有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),计算机软件,武汉市洪山区街道口鹏程国际A座2813室,
北京缘祥源科技贸易有限公司,,,贸易/进出口,,0,
北京天地阳光国际货运代理有限公司,民营公司,少于50人,交通/运输/物流,交通/运输/物流,北京首都机场货运路,
上海威图热能技术有限公司,民营公司,50-150人,建筑/建材/工程,家居/室内设计/装潢,上海延安西路3062弄18号华菱大厦3B-C座,
陕西大唐创智文化发展有限公司,民营公司,少于50人,广告,,西安市南二环太乙路立交东南角领地国际二楼,
广州锐普机电设备有限公司,,,机械/设备/重工,,广州市东风东路750号（联系地址）,
上海具联展示工程有限公司,,,公关/市场推广/会展,,0,
上海响亮信息科技有限公司,,,金融/投资/证券,计算机软件,上海市广元西路309号305室,
深圳市林式文化传播有限公司,民营公司,少于50人,广告,,罗湖区国际商品交易大厦4F,
重庆小天鹅火锅食府邻水店,民营公司,少于50人,餐饮业,,邻水县城,
长沙罗俊男装饰设计有限公司,民营公司,少于50人,家居/室内设计/装潢,建筑/建材/工程,韶山北路488号东一国际大厦1013号,
苏州一通建筑艺术设计研究院有限公司,,50-150人,建筑/建材/工程,家居/室内设计/装潢,苏州工业园区扬东路277号晶汇大厦3幢1402室,
深圳市华信时代科技有限公司,民营公司,50-150人,通信/电信/网络设备,,深圳市福田区车公庙天安数码城F3.8栋天经大厦C，D座2楼,
西安中心戴斯酒店,,,酒店/旅游,,西安市北大街99号四楼人力资源及行政部（面试地址）,
重庆掌移科技有限公司,民营公司,50-150人,互联网/电子商务,通信/电信运营、增值服务,重庆市江北区红旗河沟中信银行大厦23-4,
沈阳市中环中医院,,150-500人,医疗/护理/卫生,,沈阳市铁西区建设中路59号,
河北鑫长达钢铁有限公司,,,原材料和加工,机械/设备/重工,0,
深圳市柏林木材制品有限公司,,,原材料和加工,,0,
广州隆润贸易有限公司,民营公司,50-150人,汽车及零配件,,广州市荔湾区芳村龙溪大道488号金马汽车交易市场内（芳村车管所西行一千米）,
青岛鲁昌化工有限公司,,150-500人,石油/化工/矿产/地质,,0,
重庆君临盛世旅行社有限公司,,少于50人,酒店/旅游,,0,
郑州建材商品大世界美乐橱柜商行,,少于50人,家具/家电/玩具/礼品,批发/零售,郑汴路与玉凤路东南角,
夕恋美容美体连锁有限公司,,,美容/保健,,西安雁塔区朱雀大街明德门,
北京天缘康达医用仪器研究所,民营公司,少于50人,医疗设备/器械,医疗设备/器械,北京宣武区广安门南街36号天缘公寓B座1005,
国盛基业集团—上海亿联中心,民营公司,50-150人,物业管理/商业中心,房地产,上海市南汇区航头镇航头路1800号,
广州市镭动信息科技有限公司,,,电子技术/半导体/集成电路,,0,
北京中都天宇国际投资担保有限公司,,,金融/投资/证券,,北京市朝阳区光华路4号东方梅地亚中心903室,
深圳市星海假期国际旅行社有限公司,民营公司,150-500人,酒店/旅游,酒店/旅游,硚口区古田二路长风路汇丰企业天地汇贤楼1单元5层,
上海汉宗实业发展有限公司,,150-500人,多元化业务集团公司,,漕宝路82号光大会展中心E座2903室,
上海创宸餐饮管理有限公司,民营公司,150-500人,餐饮业,快速消费品(食品、饮料、化妆品),上海,
南京恒标冷冻机械有限公司,民营公司,50-150人,机械/设备/重工,,洪武路359号福鑫国际大厦2505西 / 江宁滨江开发区锦文路,
深圳市利通达报关有限公司,民营公司,50-150人,,,罗湖区文锦渡出口报关大楼３０１Ｆ,
苏州世茂置业有限公司,外资（非欧美）,少于50人,房地产,,0,
黄山市银鼎广告有限公司,民营公司,50-150人,广告,广告,安徽黄山市屯溪区新安北路27号2幢1单元604号,
沈阳亚清进出口贸易有限公司,,少于50人,贸易/进出口,批发/零售,沈阳市太原南街97号,
东莞市今日市场营销策划有限公司,民营公司,少于50人,公关/市场推广/会展,快速消费品(食品、饮料、化妆品),东莞市华凯活力中心,
北京原生雪润科技有限公司,,,,,0,
北京和衷瑞达商贸有限公司,,150-500人,医疗设备/器械,医疗/护理/卫生,0,
四川众汇担保有限公司,民营公司,少于50人,,,成都市武侯区二环路南二段23号向阳大厦,
江西天施康中药股份有限公司,,,制药/生物工程,,0,
微密科技（宜兴）有限公司,外资（非欧美）,1000-5000人,电子技术/半导体/集成电路,机械/设备/重工,江苏宜兴市环科园岳东路18号,
重庆市奔福商贸有限公司,,150-500人,餐饮业,家居/室内设计/装潢,重庆市北碚区碚峡路279号2楼,
昆明赛锐商务咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),,昆明市新迎小区胜利花园一期中行宿舍31幢1单元602,
云南宝凯药业有限公司,民营公司,少于50人,医疗/护理/卫生,医疗/护理/卫生,昆明市棕树营中心组团8-4,
杭州海翠翡琳科技有限公司,民营公司,50-150人,服装/纺织/皮革,批发/零售,杭州市萧山区启迪路198号杭州湾信息港C809,
深圳市克瑞斯通信设备有限公司,民营公司,50-150人,通信/电信/网络设备,通信/电信/网络设备,深圳市南山区沙河西路3181号茶光工业区12栋4楼,
江苏隆力奇生物科技股份有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),美容/保健,郑州市花园路与农业路,
现代重工（中国）电气有限公司,,500-1000人,电子技术/半导体/集成电路,机械/设备/重工,下城区中山北路607号现代城建大厦811室,
广州泰司克贸易发展有限公司,合资,少于50人,贸易/进出口,石油/化工/矿产/地质,天河区林和西路3-15号耀中广场B座915室,
上海瀚聪文化传播有限公司,民营公司,50-150人,互联网/电子商务,互联网/电子商务,上海市中山北一路1200号新光大厦2号楼205室,
北京思明博学科技有限公司,民营公司,少于50人,互联网/电子商务,,北京朝阳区小关北里渔阳大厦B705室,
北京华夏安信科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,专业服务(咨询、人力资源、财会),北京市东城区大雅宝路1号梓峰大厦4008室,
天纳克同泰（大连）排气系统有限公司,,,汽车及零配件,,0,
上海仕邦复合塑料有限公司,外资（非欧美）,少于50人,原材料和加工,,上海市松江区仓桥工业区玉秀路89号8号厂房,
再清椿美容连锁机构,民营公司,50-150人,美容/保健,,大连市中山区友好路105号曼哈顿大厦A座1211室,
杭州冠捷体育用品有限公司,民营公司,500-1000人,批发/零售,批发/零售,杭州市建国北路639号华源发展大厦1801,
北京资旗源科技有限公司,民营公司,少于50人,计算机服务(系统、数据服务、维修),,北京市石景山区阜石路166号泽洋大厦310,
青岛宏达国际货运代理有限公司,民营公司,少于50人,交通/运输/物流,交通/运输/物流,青岛市南区香港中路10号,
上海嘉绮德会展服务有限公司,外资（非欧美）,少于50人,公关/市场推广/会展,酒店/旅游,上海市普陀区长寿路1118号A座22楼A室,
中山市小榄镇华邦纸品工艺厂,,,印刷/包装/造纸,家具/家电/玩具/礼品,广东中山小榄镇永宁洪联东二路1号（联系地址）,
青岛市友和信航空商旅服务有限公司,民营公司,少于50人,航天/航空,酒店/旅游,市北区山东路118号环宇康庭2号楼1206,
北京铁工经贸公司,国企,500-1000人,物业管理/商业中心,,海淀区西四环中路16号。中国南车集团,
